boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-2702200390026.bu,o00407-2702200390026.bu,20,199,3,9,UE2015
o00407-2761800450012.bu,o00407-2761800450012.bu,32,117,4,8,UE2015
o00407-2763400370155.bu,o00407-2763400370155.bu,32,165,1,22,UE2009
o00407-2785500540521.bu,o00407-2785500540521.bu,172,198,11,13,UE2020
o00407-2701400390040.bu,o00407-2701400390040.bu,11,224,2,17,UE2009
o00407-2785500540426.bu,o00407-2785500540426.bu,205,131,5,15,UE2020
o00407-2727800470065.bu,o00407-2727800470065.bu,74,136,4,6,UE2015
o00407-2747200400121.bu,o00407-2747200400121.bu,14,148,1,3,UE2009
o00407-2785500330246.bu,o00407-2785500330246.bu,190,136,8,22,UE2020
o00407-2889400310109.bu,o00407-2889400310109.bu,62,220,5,26,UE2010
o00407-2779000340218.bu,o00407-2779000340218.bu,109,131,5,8,UE2013
o00407-2861400210003.bu,o00407-2861400210003.bu,51,174,1,13,UE2013
o00407-2845200140114.bu,o00407-2845200140114.bu,111,104,2,13,UE2009
o00407-2833900130040.bu,o00407-2833900130040.bu,107,144,2,8,UE2015
o00407-2825800100224.bu,o00407-2825800100224.bu,55,158,1,13,UE2015
o00407-2869000170177.bu,o00407-2869000170177.bu,56,53,1,5,UE2015
o00407-2875400490031.bu,o00407-2875400490031.bu,78,182,4,11,UE2010
o00407-2833900130093.bu,o00407-2833900130093.bu,53,178,2,10,UE2015
o00407-2825800100312.bu,o00407-2825800100312.bu,93,167,5,8,UE2010
o00407-2825800100084.bu,o00407-2825800100084.bu,102,138,0,13,UE2015
o00407-2705700550173.bu,o00407-2705700550173.bu,144,158,7,15,UE2009
o00407-2833900130017.bu,o00407-2833900130017.bu,70,129,0,15,UE2009
o00407-2827400110049.bu,o00407-2827400110049.bu,49,164,2,7,UE2009
o00407-2765000390077.bu,o00407-2765000390077.bu,40,207,5,19,UE2009
o00407-2833900130064.bu,o00407-2833900130064.bu,59,120,6,6,UE2015
o00407-2711100260141.bu,o00407-2711100260141.bu,159,143,4,16,UE2020
o00407-2785500030394.bu,o00407-2785500030394.bu,149,123,6,20,UE2020
o00407-2837100080068.bu,o00407-2837100080068.bu,127,155,4,14,UE2020
o00407-2785500540229.bu,o00407-2785500540229.bu,206,164,6,31,UE2020
o00407-2857600080081.bu,o00407-2857600080081.bu,102,175,7,17,UE2020
o00407-2785500020183.bu,o00407-2785500020183.bu,218,118,4,5,UE2020
o00407-2785500010436.bu,o00407-2785500010436.bu,208,117,3,13,UE2020
o00407-2707300060087.bu,o00407-2707300060087.bu,99,106,3,11,UE2020
o00407-2719700480050.bu,o00407-2719700480050.bu,46,106,6,24,UE2009
o00407-2885100210048.bu,o00407-2885100210048.bu,85,126,3,19,UE2010
o00407-2853300150051.bu,o00407-2853300150051.bu,78,145,3,11,UE2020
o00407-2785500540469.bu,o00407-2785500540469.bu,197,158,6,22,UE2020
o00407-2829000120074.bu,o00407-2829000120074.bu,110,134,3,11,UE2015
o00407-2785500540357.bu,o00407-2785500540357.bu,160,178,7,34,UE2020
o00407-2885100210031.bu,o00407-2885100210031.bu,86,162,2,10,UE2015
o00407-2763400370143.bu,o00407-2763400370143.bu,48,233,2,9,UE2013
o00407-2705700220059.bu,o00407-2705700220059.bu,155,154,3,22,UE2015
o00407-2785500020046.bu,o00407-2785500020046.bu,170,124,7,26,UE2020
o00407-2875400490030.bu,o00407-2875400490030.bu,88,173,6,12,UE2010
o00407-2783900470139.bu,o00407-2783900470139.bu,65,191,0,2,UE2015
o00407-2785500010190.bu,o00407-2785500010190.bu,115,92,4,13,UE2020
o00407-2833900130086.bu,o00407-2833900130086.bu,91,148,2,10,UE2010
o00407-2785500030011.bu,o00407-2785500030011.bu,89,54,1,9,UE2020
o00407-2785500020361.bu,o00407-2785500020361.bu,170,126,5,14,UE2020
o00407-2799500270066.bu,o00407-2799500270066.bu,40,119,2,10,UE2009
o00407-2867300510022.bu,o00407-2867300510022.bu,12,183,1,26,UE2009
