boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9895700330098.bu,o00407-9895700330098.bu,132,132,2,2,UE2015
o00407-9151000460134.bu,o00407-9151000460134.bu,138,132,2,3,UE2020
o00407-9167700200383.bu,o00407-9167700200383.bu,91,112,4,5,UE2020
o00407-9067000550296.bu,o00407-9067000550296.bu,167,124,3,6,UE2020
o00407-9048400600100.bu,o00407-9048400600100.bu,157,172,2,4,UE2015
o00407-9067000010991.bu,o00407-9067000010991.bu,204,61,0,11,UE2020
o00407-9050600120060.bu,o00407-9050600120060.bu,166,127,4,3,UE2020
o00407-9067000010793.bu,o00407-9067000010793.bu,242,89,3,5,UE2020
o00407-9151000460290.bu,o00407-9151000460290.bu,150,73,5,4,UE2020
o00407-9067000010970.bu,o00407-9067000010970.bu,113,59,3,2,UE2020
o00407-9033600130132.bu,o00407-9033600130132.bu,51,82,0,3,UE2013
o00407-9889200400063.bu,o00407-9889200400063.bu,234,22,1,0,UE2020
o00407-9151000460216.bu,o00407-9151000460216.bu,140,110,4,7,UE2020
o00407-8982600230071.bu,o00407-8982600230071.bu,180,63,0,5,UE2015
o00407-9889200400002.bu,o00407-9889200400002.bu,207,42,1,2,UE2020
o00407-9905800440220.bu,o00407-9905800440220.bu,197,52,3,3,UE2015
o00407-9067000010178.bu,o00407-9067000010178.bu,92,34,2,1,UE2020
o00407-9002600020152.bu,o00407-9002600020152.bu,109,86,3,5,UE2020
o00407-9067000390624.bu,o00407-9067000390624.bu,218,115,1,5,UE2020
o00407-9067000550067.bu,o00407-9067000550067.bu,163,136,2,8,UE2020
o00407-9069700070131.bu,o00407-9069700070131.bu,96,101,0,4,UE2011
o00407-9046800560100.bu,o00407-9046800560100.bu,188,61,1,5,UE2010
o00407-9052200320091.bu,o00407-9052200320091.bu,213,49,1,3,UE2015
o00407-9871000320264.bu,o00407-9871000320264.bu,162,39,2,3,UE2015
o00407-9047600060118.bu,o00407-9047600060118.bu,74,127,2,4,UE2011
o00407-9177400180180.bu,o00407-9177400180180.bu,168,96,2,11,UE2011
o00407-9893000430332.bu,o00407-9893000430332.bu,65,68,0,1,UE2013
o00407-9833700130043.bu,o00407-9833700130043.bu,139,107,1,4,UE2013
o00407-9071900120003.bu,o00407-9071900120003.bu,151,57,1,3,UE2020
o00407-9022000270101.bu,o00407-9022000270101.bu,241,38,5,2,UE2009
o00407-9059000340128.bu,o00407-9059000340128.bu,140,158,0,3,UE2020
o00407-9033600130002.bu,o00407-9033600130002.bu,145,53,0,2,UE2011
o00407-9133200080040.bu,o00407-9133200080040.bu,77,78,1,4,UE2020
o00407-9046800560121.bu,o00407-9046800560121.bu,169,37,2,3,UE2009
o00407-9185500190226.bu,o00407-9185500190226.bu,122,38,0,1,UE2010
o00407-9873600190282.bu,o00407-9873600190282.bu,124,148,2,8,UE2009
o00407-9167700200359.bu,o00407-9167700200359.bu,201,75,2,7,UE2020
o00407-9067000390364.bu,o00407-9067000390364.bu,200,134,5,6,UE2020
o00407-9193600310036.bu,o00407-9193600310036.bu,67,61,1,0,UE2009
o00407-9885000280096.bu,o00407-9885000280096.bu,126,143,3,5,UE2009
o00407-9067000011004.bu,o00407-9067000011004.bu,144,85,4,0,UE2020
o00407-9047600060270.bu,o00407-9047600060270.bu,117,111,1,1,UE2011
o00407-9070000090380.bu,o00407-9070000090380.bu,111,67,2,2,UE2009
o00407-9047600060393.bu,o00407-9047600060393.bu,99,88,1,4,UE2009
o00407-9067000550014.bu,o00407-9067000550014.bu,163,113,1,5,UE2020
o00407-9047600060385.bu,o00407-9047600060385.bu,93,123,3,2,UE2011
o00407-9027100110118.bu,o00407-9027100110118.bu,213,49,2,0,UE2015
o00407-8985000220420.bu,o00407-8985000220420.bu,183,98,3,5,UE2010
o00407-8985000220540.bu,o00407-8985000220540.bu,253,68,2,3,UE2010
o00407-9070000090378.bu,o00407-9070000090378.bu,94,80,0,3,UE2010
o00407-9033600130023.bu,o00407-9033600130023.bu,133,115,4,7,UE2013
o00407-9151000100464.bu,o00407-9151000100464.bu,216,69,3,2,UE2020
o00407-9068900210122.bu,o00407-9068900210122.bu,151,37,2,1,UE2011
o00407-9006900530117.bu,o00407-9006900530117.bu,188,79,1,1,UE2015
o00407-9185500190045.bu,o00407-9185500190045.bu,200,36,0,3,UE2009
o00407-9007700450238.bu,o00407-9007700450238.bu,89,53,1,3,UE2020
o00407-9819100270022.bu,o00407-9819100270022.bu,180,44,3,2,UE2009
o00407-9151000460294.bu,o00407-9151000460294.bu,171,72,2,6,UE2020
o00407-9004200150238.bu,o00407-9004200150238.bu,129,31,1,3,UE2015
o00407-9067000510227.bu,o00407-9067000510227.bu,158,117,6,5,UE2020
o00407-8991500410093.bu,o00407-8991500410093.bu,124,38,2,2,UE2010
o00407-9873600190280.bu,o00407-9873600190280.bu,112,125,3,5,UE2010
o00407-8985000220242.bu,o00407-8985000220242.bu,218,74,0,1,UE2010
o00407-9155300380112.bu,o00407-9155300380112.bu,117,137,2,2,UE2011
o00407-9889200400083.bu,o00407-9889200400083.bu,210,67,0,7,UE2020
o00407-9181200450201.bu,o00407-9181200450201.bu,171,121,3,5,UE2020
o00407-9040900140070.bu,o00407-9040900140070.bu,147,114,5,5,UE2020
o00407-9067000510247.bu,o00407-9067000510247.bu,213,106,2,3,UE2020
o00407-9185500190075.bu,o00407-9185500190075.bu,208,54,0,2,UE2009
o00407-9074300420100.bu,o00407-9074300420100.bu,218,72,0,1,UE2015
o00407-9080800440255.bu,o00407-9080800440255.bu,197,64,2,3,UE2015
o00407-9865500260091.bu,o00407-9865500260091.bu,118,87,2,2,UE2009
o00407-9139100470202.bu,o00407-9139100470202.bu,83,77,1,3,UE2020
o00407-9151000100298.bu,o00407-9151000100298.bu,250,44,2,1,UE2020
o00407-9831000350329.bu,o00407-9831000350329.bu,169,89,5,7,UE2010
o00407-9193600310022.bu,o00407-9193600310022.bu,137,23,0,0,UE2009
o00407-9067000390376.bu,o00407-9067000390376.bu,192,124,3,3,UE2020
o00407-9893000430068.bu,o00407-9893000430068.bu,268,63,1,1,UE2013
o00407-9191000300051.bu,o00407-9191000300051.bu,161,47,3,5,UE2009
o00407-9167700200429.bu,o00407-9167700200429.bu,165,122,5,5,UE2020
o00407-9009300070017.bu,o00407-9009300070017.bu,115,138,2,5,UE2011
o00407-9889200400207.bu,o00407-9889200400207.bu,164,48,3,4,UE2020
o00407-9007700450174.bu,o00407-9007700450174.bu,97,83,1,5,UE2020
o00407-8991500410088.bu,o00407-8991500410088.bu,153,59,3,5,UE2010
o00407-8980000180259.bu,o00407-8980000180259.bu,174,86,0,4,UE2011
o00407-9067000390517.bu,o00407-9067000390517.bu,212,97,5,4,UE2020
o00407-9056500030113.bu,o00407-9056500030113.bu,104,111,1,2,UE2020
o00407-9867100300104.bu,o00407-9867100300104.bu,102,71,1,3,UE2009
o00407-9117000030166.bu,o00407-9117000030166.bu,163,67,3,3,UE2020
o00407-8993100520153.bu,o00407-8993100520153.bu,131,35,2,4,UE2010
o00407-9052200320095.bu,o00407-9052200320095.bu,223,34,3,4,UE2015
o00407-9121900200625.bu,o00407-9121900200625.bu,96,186,1,4,UE2020
o00407-9151000460256.bu,o00407-9151000460256.bu,167,101,2,2,UE2020
o00407-9167700490230.bu,o00407-9167700490230.bu,160,130,5,3,UE2020
o00407-9151000100409.bu,o00407-9151000100409.bu,203,84,3,6,UE2020
o00407-9067000010985.bu,o00407-9067000010985.bu,200,70,3,3,UE2020
o00407-9167700200654.bu,o00407-9167700200654.bu,209,108,2,3,UE2020
o00407-9893000430061.bu,o00407-9893000430061.bu,299,36,1,0,UE2013
o00407-9058100480158.bu,o00407-9058100480158.bu,133,44,3,1,UE2015
o00407-9059000340129.bu,o00407-9059000340129.bu,156,128,3,6,UE2020
o00407-9067000010926.bu,o00407-9067000010926.bu,144,116,0,4,UE2020
o00407-9027100110102.bu,o00407-9027100110102.bu,210,57,0,1,UE2015
o00407-9071900120033.bu,o00407-9071900120033.bu,142,59,3,3,UE2020
o00407-9905800440203.bu,o00407-9905800440203.bu,209,44,3,3,UE2015
o00407-9047600060363.bu,o00407-9047600060363.bu,71,64,1,1,UE2011
o00407-9067000010973.bu,o00407-9067000010973.bu,105,69,1,2,UE2020
o00407-8987700240166.bu,o00407-8987700240166.bu,196,55,2,6,UE2009
o00407-9050600120093.bu,o00407-9050600120093.bu,152,86,0,6,UE2020
o00407-8978800110038.bu,o00407-8978800110038.bu,187,81,3,3,UE2015
o00407-9895700330086.bu,o00407-9895700330086.bu,129,48,3,1,UE2015
o00407-9907400410049.bu,o00407-9907400410049.bu,91,78,1,6,UE2010
o00407-9831000350127.bu,o00407-9831000350127.bu,131,42,4,3,UE2009
o00407-9889200400018.bu,o00407-9889200400018.bu,239,56,1,2,UE2020
o00407-8993100520213.bu,o00407-8993100520213.bu,101,63,0,4,UE2010
o00407-8985000220357.bu,o00407-8985000220357.bu,267,40,2,2,UE2010
o00407-9067000550012.bu,o00407-9067000550012.bu,166,104,5,4,UE2020
o00407-9067000011000.bu,o00407-9067000011000.bu,151,100,5,1,UE2020
o00407-9009300070005.bu,o00407-9009300070005.bu,67,106,3,0,UE2011
o00407-9064600050127.bu,o00407-9064600050127.bu,234,46,2,3,UE2010
o00407-9095600140105.bu,o00407-9095600140105.bu,77,50,1,3,UE2020
o00407-9067000550071.bu,o00407-9067000550071.bu,165,123,2,4,UE2020
o00407-9067000390592.bu,o00407-9067000390592.bu,176,134,4,4,UE2020
o00407-9060300210231.bu,o00407-9060300210231.bu,211,59,1,3,UE2011
o00407-9151000460086.bu,o00407-9151000460086.bu,202,113,2,11,UE2020
o00407-9167700490093.bu,o00407-9167700490093.bu,111,66,2,1,UE2020
o00407-9129400040040.bu,o00407-9129400040040.bu,165,135,2,3,UE2020
o00407-9047600060390.bu,o00407-9047600060390.bu,134,141,1,2,UE2011
o00407-9067000390648.bu,o00407-9067000390648.bu,164,104,2,5,UE2020
o00407-9067000390507.bu,o00407-9067000390507.bu,141,61,3,1,UE2020
o00407-9064600050134.bu,o00407-9064600050134.bu,218,72,2,2,UE2010
o00407-9119700170065.bu,o00407-9119700170065.bu,76,67,1,2,UE2009
o00407-9009300070019.bu,o00407-9009300070019.bu,63,83,0,4,UE2011
o00407-9047600060047.bu,o00407-9047600060047.bu,108,71,1,3,UE2011
o00407-9895700330092.bu,o00407-9895700330092.bu,118,72,3,3,UE2015
o00407-9005000080118.bu,o00407-9005000080118.bu,92,101,1,3,UE2020
o00407-9018200130038.bu,o00407-9018200130038.bu,79,137,2,3,UE2013
o00407-9095600140078.bu,o00407-9095600140078.bu,187,106,5,5,UE2020
