boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-8717301180073.bu,o00407-8717301180073.bu,188,71,4,5,UE2013
o00407-8845500300096.bu,o00407-8845500300096.bu,68,170,8,7,UE2015
o00407-8531600070071.bu,o00407-8531600070071.bu,101,76,4,1,UE2015
o00407-8683501730235.bu,o00407-8683501730235.bu,129,133,5,8,UE2020
o00407-8683500710003.bu,o00407-8683500710003.bu,154,96,8,5,UE2020
o00407-8627400120020.bu,o00407-8627400120020.bu,100,95,3,12,UE2015
o00407-8787401230016.bu,o00407-8787401230016.bu,52,105,4,0,UE2011
o00407-8953200580069.bu,o00407-8953200580069.bu,206,83,5,5,UE2010
o00407-8801301580462.bu,o00407-8801301580462.bu,143,160,6,12,UE2020
o00407-8489100110057.bu,o00407-8489100110057.bu,126,149,0,3,UE2015
o00407-8681900650125.bu,o00407-8681900650125.bu,209,66,5,8,UE2020
o00407-8801301590128.bu,o00407-8801301590128.bu,66,113,2,5,UE2020
o00407-8589801340061.bu,o00407-8589801340061.bu,99,79,9,7,UE2020
o00407-8901001080207.bu,o00407-8901001080207.bu,129,138,5,5,UE2015
o00407-8801300020345.bu,o00407-8801300020345.bu,111,136,5,6,UE2020
o00407-8951600570251.bu,o00407-8951600570251.bu,140,97,3,10,UE2013
o00407-8512000260006.bu,o00407-8512000260006.bu,38,63,3,5,UE2010
o00407-8569300120079.bu,o00407-8569300120079.bu,154,80,4,4,UE2013
o00407-8655000610099.bu,o00407-8655000610099.bu,212,77,6,4,UE2009
o00407-8845500300041.bu,o00407-8845500300041.bu,59,68,6,3,UE2011
o00407-9821301250122.bu,o00407-9821301250122.bu,210,100,6,13,UE2010
o00407-8569300120135.bu,o00407-8569300120135.bu,124,88,1,5,UE2013
o00407-8765301190332.bu,o00407-8765301190332.bu,69,51,5,3,UE2011
o00407-8589801340267.bu,o00407-8589801340267.bu,146,110,2,8,UE2020
o00407-8599500160386.bu,o00407-8599500160386.bu,136,126,6,22,UE2020
o00407-8619300170171.bu,o00407-8619300170171.bu,144,90,2,5,UE2011
o00407-8957501620032.bu,o00407-8957501620032.bu,110,110,5,11,UE2020
o00407-8473500030099.bu,o00407-8473500030099.bu,138,66,2,7,UE2010
o00407-8801301590412.bu,o00407-8801301590412.bu,95,180,4,16,UE2020
o00407-8693200500167.bu,o00407-8693200500167.bu,102,137,4,7,UE2013
o00407-8851000440113.bu,o00407-8851000440113.bu,132,101,3,5,UE2010
o00407-8587100140005.bu,o00407-8587100140005.bu,123,170,10,7,UE2010
o00407-8877300730448.bu,o00407-8877300730448.bu,170,125,6,8,UE2020
o00407-8953200580042.bu,o00407-8953200580042.bu,107,22,4,4,UE2010
o00407-8475100060008.bu,o00407-8475100060008.bu,149,28,2,1,UE2013
o00407-8683501730031.bu,o00407-8683501730031.bu,208,96,7,5,UE2020
o00407-8900100150115.bu,o00407-8900100150115.bu,99,76,2,8,UE2010
o00407-8877300510094.bu,o00407-8877300510094.bu,143,97,4,5,UE2020
o00407-8937001490127.bu,o00407-8937001490127.bu,137,61,1,2,UE2015
o00407-8777700320007.bu,o00407-8777700320007.bu,113,99,2,5,UE2010
o00407-8873001300031.bu,o00407-8873001300031.bu,75,93,4,13,UE2010
o00407-8951600570095.bu,o00407-8951600570095.bu,191,82,2,5,UE2013
o00407-8545600630028.bu,o00407-8545600630028.bu,105,72,2,8,UE2015
o00407-8555300090014.bu,o00407-8555300090014.bu,54,162,6,9,UE2010
o00407-8963000590105.bu,o00407-8963000590105.bu,111,115,8,9,UE2020
o00407-8705000230255.bu,o00407-8705000230255.bu,101,91,3,1,UE2011
o00407-8713000240014.bu,o00407-8713000240014.bu,128,87,7,2,UE2010
o00407-8801300020034.bu,o00407-8801300020034.bu,126,127,4,4,UE2020
o00407-8801301140531.bu,o00407-8801301140531.bu,107,104,6,7,UE2020
o00407-8903600830009.bu,o00407-8903600830009.bu,150,71,2,6,UE2015
o00407-8801301140095.bu,o00407-8801301140095.bu,76,123,3,8,UE2020
o00407-8967201560026.bu,o00407-8967201560026.bu,137,93,9,11,UE2010
o00407-8785800330175.bu,o00407-8785800330175.bu,155,72,5,3,UE2020
o00407-8511101240249.bu,o00407-8511101240249.bu,151,116,7,12,UE2015
o00407-8801301590483.bu,o00407-8801301590483.bu,116,155,4,10,UE2020
o00407-8541300080017.bu,o00407-8541300080017.bu,116,135,5,8,UE2020
o00407-8791200600089.bu,o00407-8791200600089.bu,117,152,8,17,UE2020
o00407-8867600480041.bu,o00407-8867600480041.bu,99,144,8,6,UE2015
o00407-8785800330141.bu,o00407-8785800330141.bu,168,97,4,7,UE2020
o00407-8785800330523.bu,o00407-8785800330523.bu,141,165,8,7,UE2020
o00407-8801301110169.bu,o00407-8801301110169.bu,182,105,3,7,UE2020
o00407-8877300510405.bu,o00407-8877300510405.bu,140,129,4,10,UE2020
o00407-8661400680041.bu,o00407-8661400680041.bu,236,62,1,4,UE2010
o00407-8902800340440.bu,o00407-8902800340440.bu,138,31,3,4,UE2020
o00407-8599501360494.bu,o00407-8599501360494.bu,107,111,3,5,UE2020
o00407-8749100310100.bu,o00407-8749100310100.bu,133,99,4,4,UE2011
o00407-8509001440029.bu,o00407-8509001440029.bu,140,110,5,8,UE2015
o00407-8927300550003.bu,o00407-8927300550003.bu,228,89,5,9,UE2015
o00407-8923000040104.bu,o00407-8923000040104.bu,137,59,3,5,UE2010
o00407-8801301610227.bu,o00407-8801301610227.bu,92,181,2,10,UE2020
o00407-8841200410145.bu,o00407-8841200410145.bu,135,135,7,10,UE2020
o00407-8935401100179.bu,o00407-8935401100179.bu,162,104,5,7,UE2015
o00407-8687800220037.bu,o00407-8687800220037.bu,164,52,5,5,UE2015
o00407-8507300050123.bu,o00407-8507300050123.bu,126,117,6,7,UE2013
o00407-8815300370232.bu,o00407-8815300370232.bu,89,173,6,4,UE2015
o00407-8843900090161.bu,o00407-8843900090161.bu,103,158,31,10,UE2013
o00407-8973701640971.bu,o00407-8973701640971.bu,112,151,9,5,UE2020
o00407-8791200600494.bu,o00407-8791200600494.bu,62,176,6,9,UE2020
o00407-8587100140054.bu,o00407-8587100140054.bu,177,70,7,6,UE2010
o00407-8935401100041.bu,o00407-8935401100041.bu,155,107,6,5,UE2015
o00407-8591000150092.bu,o00407-8591000150092.bu,133,89,4,3,UE2010
