boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-4647701340232.bu,o00407-4647701340232.bu,185,71,6,5,UE2010
o00407-4595003510117.bu,o00407-4595003510117.bu,74,80,2,10,UE2020
o00407-4080002880402.bu,o00407-4080002880402.bu,120,118,6,16,UE2020
o00407-4877101870048.bu,o00407-4877101870048.bu,136,69,1,6,UE2010
o00407-5159401130068.bu,o00407-5159401130068.bu,105,152,2,18,UE2013
o00407-5091103210140.bu,o00407-5091103210140.bu,147,175,4,11,UE2020
o00407-5091103210084.bu,o00407-5091103210084.bu,137,98,5,7,UE2020
o00407-4493801040076.bu,o00407-4493801040076.bu,117,95,4,1,UE2013
o00407-4218800440063.bu,o00407-4218800440063.bu,41,223,2,5,UE2010
o00407-4445801030197.bu,o00407-4445801030197.bu,83,149,2,4,UE2020
o00407-4893301930077.bu,o00407-4893301930077.bu,50,147,3,11,UE2020
o00407-4417201000284.bu,o00407-4417201000284.bu,109,144,6,4,UE2011
o00407-4523303240068.bu,o00407-4523303240068.bu,58,106,1,8,UE2010
o00407-5371602690039.bu,o00407-5371602690039.bu,101,87,3,5,UE2009
o00407-5041502240033.bu,o00407-5041502240033.bu,79,167,2,9,UE2020
o00407-4553501190207.bu,o00407-4553501190207.bu,36,78,2,5,UE2015
o00407-4107600220011.bu,o00407-4107600220011.bu,125,148,6,11,UE2020
o00407-4865803170185.bu,o00407-4865803170185.bu,146,108,10,7,UE2015
o00407-5403803350142.bu,o00407-5403803350142.bu,142,142,4,5,UE2015
o00407-5097002340009.bu,o00407-5097002340009.bu,102,155,4,8,UE2011
o00407-4445801030214.bu,o00407-4445801030214.bu,96,180,3,8,UE2020
o00407-4553503180180.bu,o00407-4553503180180.bu,153,97,5,8,UE2015
o00407-4179300520089.bu,o00407-4179300520089.bu,135,149,6,7,UE2020
o00407-4445801020149.bu,o00407-4445801020149.bu,207,84,2,3,UE2020
o00407-4857701800186.bu,o00407-4857701800186.bu,96,143,3,4,UE2010
o00407-4787201670029.bu,o00407-4787201670029.bu,159,84,6,4,UE2010
o00407-4123800260234.bu,o00407-4123800260234.bu,131,159,3,8,UE2020
o00407-4123800390476.bu,o00407-4123800390476.bu,238,166,5,10,UE2020
o00407-5403802790234.bu,o00407-5403802790234.bu,149,124,3,9,UE2015
o00407-4080002880100.bu,o00407-4080002880100.bu,133,141,5,1,UE2020
o00407-4157200590073.bu,o00407-4157200590073.bu,155,127,8,6,UE2009
o00407-5413502810053.bu,o00407-5413502810053.bu,189,80,5,9,UE2020
o00407-5403802780491.bu,o00407-5403802780491.bu,131,139,2,12,UE2015
o00407-4141600430107.bu,o00407-4141600430107.bu,119,172,4,2,UE2020
o00407-4305200790099.bu,o00407-4305200790099.bu,122,164,4,9,UE2010
o00407-4080002880403.bu,o00407-4080002880403.bu,198,137,10,5,UE2020
o00407-4123800340217.bu,o00407-4123800340217.bu,112,174,3,5,UE2020
o00407-4100900500203.bu,o00407-4100900500203.bu,50,143,1,3,UE2010
o00407-4123803310205.bu,o00407-4123803310205.bu,207,162,7,8,UE2020
o00407-5157800020184.bu,o00407-5157800020184.bu,190,141,4,9,UE2011
o00407-4133503190258.bu,o00407-4133503190258.bu,107,133,2,5,UE2020
