boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-1779500500236.bu,o00407-1779500500236.bu,170,125,5,13,UE2020
o00407-1871600530114.bu,o00407-1871600530114.bu,35,204,3,12,UE2020
o00407-1805800530018.bu,o00407-1805800530018.bu,85,187,3,5,UE2020
o00407-1837600510020.bu,o00407-1837600510020.bu,87,185,1,4,UE2020
o00407-1761200020278.bu,o00407-1761200020278.bu,174,214,6,10,UE2020
o00407-1761200690191.bu,o00407-1761200690191.bu,181,183,7,14,UE2020
o00407-1753100120198.bu,o00407-1753100120198.bu,50,206,5,7,UE2009
o00407-1773600540131.bu,o00407-1773600540131.bu,43,111,6,5,UE2011
o00407-1661600200082.bu,o00407-1661600200082.bu,74,165,5,10,UE2010
o00407-1823600160165.bu,o00407-1823600160165.bu,84,165,4,8,UE2020
o00407-1805800530024.bu,o00407-1805800530024.bu,75,206,4,7,UE2020
o00407-3003100580072.bu,o00407-3003100580072.bu,91,201,2,8,UE2010
o00407-1865100260014.bu,o00407-1865100260014.bu,86,179,2,6,UE2015
o00407-1761200030301.bu,o00407-1761200030301.bu,186,208,2,8,UE2020
o00407-1651900060391.bu,o00407-1651900060391.bu,33,141,0,2,UE2020
o00407-1759000340309.bu,o00407-1759000340309.bu,120,209,3,5,UE2010
o00407-1609800410064.bu,o00407-1609800410064.bu,25,148,1,4,UE2015
o00407-1747700380033.bu,o00407-1747700380033.bu,76,201,1,11,UE2015
o00407-1645400360008.bu,o00407-1645400360008.bu,51,159,4,8,UE2015
o00407-1779500500048.bu,o00407-1779500500048.bu,173,116,2,1,UE2020
o00407-1895300070133.bu,o00407-1895300070133.bu,96,230,7,7,UE2009
o00407-1618700430073.bu,o00407-1618700430073.bu,28,175,4,6,UE2015
o00407-1612800310021.bu,o00407-1612800310021.bu,69,126,1,4,UE2015
o00407-1685300320062.bu,o00407-1685300320062.bu,111,210,8,8,UE2010
o00407-1829500130118.bu,o00407-1829500130118.bu,76,238,1,4,UE2020
o00407-1743400300024.bu,o00407-1743400300024.bu,36,90,2,1,UE2011
o00407-1759000340104.bu,o00407-1759000340104.bu,97,199,1,2,UE2010
o00407-1697700680057.bu,o00407-1697700680057.bu,68,217,2,8,UE2020
o00407-1699300620064.bu,o00407-1699300620064.bu,48,237,2,7,UE2020
o00407-1847300430113.bu,o00407-1847300430113.bu,10,225,2,4,UE2015
o00407-1621700320022.bu,o00407-1621700320022.bu,64,155,2,4,UE2010
o00407-1761200020370.bu,o00407-1761200020370.bu,204,118,0,7,UE2020
o00407-1609800410081.bu,o00407-1609800410081.bu,31,162,0,0,UE2015
o00407-1883000230048.bu,o00407-1883000230048.bu,92,206,4,2,UE2010
o00407-1889900490018.bu,o00407-1889900490018.bu,111,155,0,7,UE2013
o00407-1867800130050.bu,o00407-1867800130050.bu,83,200,4,6,UE2020
o00407-1761200690005.bu,o00407-1761200690005.bu,166,205,6,12,UE2020
o00407-1823600160065.bu,o00407-1823600160065.bu,104,161,2,12,UE2020
o00407-1761200010512.bu,o00407-1761200010512.bu,200,197,4,10,UE2020
o00407-1622500490114.bu,o00407-1622500490114.bu,111,194,1,6,UE2013
o00407-1761200040395.bu,o00407-1761200040395.bu,176,221,3,9,UE2020
o00407-1837600510192.bu,o00407-1837600510192.bu,38,136,1,2,UE2020
o00407-1761200030234.bu,o00407-1761200030234.bu,131,131,4,6,UE2020
o00407-1761200040371.bu,o00407-1761200040371.bu,179,191,5,11,UE2020
o00407-1619500350004.bu,o00407-1619500350004.bu,57,202,7,6,UE2015
o00407-1761200010520.bu,o00407-1761200010520.bu,108,119,1,8,UE2020
o00407-1751500390061.bu,o00407-1751500390061.bu,31,197,1,1,UE2015
o00407-1611000370090.bu,o00407-1611000370090.bu,17,132,2,3,UE2015
o00407-1703500530101.bu,o00407-1703500530101.bu,91,158,3,4,UE2020
o00407-1761200040424.bu,o00407-1761200040424.bu,115,149,1,7,UE2020
o00407-3003100580114.bu,o00407-3003100580114.bu,56,197,1,2,UE2010
o00407-1719100270044.bu,o00407-1719100270044.bu,70,169,2,4,UE2015
o00407-1731000440020.bu,o00407-1731000440020.bu,55,191,4,6,UE2009
o00407-1761200010347.bu,o00407-1761200010347.bu,106,155,1,6,UE2020
o00407-1639000250078.bu,o00407-1639000250078.bu,76,223,0,16,UE2010
o00407-1759000330247.bu,o00407-1759000330247.bu,67,139,4,4,UE2010
o00407-1643800110102.bu,o00407-1643800110102.bu,54,190,7,15,UE2009
o00407-1841400070151.bu,o00407-1841400070151.bu,94,153,2,7,UE2009
o00407-1779500500433.bu,o00407-1779500500433.bu,148,136,3,4,UE2020
o00407-1703500530103.bu,o00407-1703500530103.bu,104,153,3,7,UE2020
o00407-1711600230063.bu,o00407-1711600230063.bu,30,71,1,2,UE2010
o00407-1761200690215.bu,o00407-1761200690215.bu,161,193,2,12,UE2020
o00407-1625000310018.bu,o00407-1625000310018.bu,80,172,0,6,UE2015
o00407-1791400170050.bu,o00407-1791400170050.bu,47,175,1,8,UE2011
o00407-1613600470062.bu,o00407-1613600470062.bu,50,251,4,5,UE2013
o00407-1655100680020.bu,o00407-1655100680020.bu,51,204,5,10,UE2020
o00407-1779500500300.bu,o00407-1779500500300.bu,156,136,3,5,UE2020
o00407-1741800050131.bu,o00407-1741800050131.bu,52,172,1,3,UE2020
o00407-1719100270007.bu,o00407-1719100270007.bu,59,128,2,2,UE2015
o00407-1743400300090.bu,o00407-1743400300090.bu,38,195,0,7,UE2011
