boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0255000650470.bu,o00407-0255000650470.bu,159,136,2,13,UE2020
o00407-0255000400563.bu,o00407-0255000400563.bu,186,103,3,11,UE2020
o00407-0255000020574.bu,o00407-0255000020574.bu,223,82,1,6,UE2020
o00407-0255000010736.bu,o00407-0255000010736.bu,157,110,2,3,UE2020
o00407-0255000580754.bu,o00407-0255000580754.bu,193,136,3,14,UE2020
o00407-9847700360061.bu,o00407-9847700360061.bu,1,274,2,21,UE2010
o00407-0255000370634.bu,o00407-0255000370634.bu,197,122,9,11,UE2020
o00407-0255000590757.bu,o00407-0255000590757.bu,171,118,6,8,UE2020
o00407-0241000030278.bu,o00407-0241000030278.bu,88,138,3,3,UE2010
o00407-0255000580871.bu,o00407-0255000580871.bu,207,109,3,8,UE2009
o00407-0255000620599.bu,o00407-0255000620599.bu,177,97,5,8,UE2009
o00407-0255000630696.bu,o00407-0255000630696.bu,225,105,4,14,UE2020
o00407-0223200230104.bu,o00407-0223200230104.bu,73,109,1,11,UE2010
o00407-0229100110081.bu,o00407-0229100110081.bu,52,205,3,15,UE2010
o00407-0255000630717.bu,o00407-0255000630717.bu,227,129,2,7,UE2020
o00407-0255000370725.bu,o00407-0255000370725.bu,177,136,8,16,UE2020
o00407-0261500050161.bu,o00407-0261500050161.bu,16,271,2,12,UE2011
o00407-0241000030060.bu,o00407-0241000030060.bu,88,191,1,13,UE2010
o00407-0255000020556.bu,o00407-0255000020556.bu,189,92,3,6,UE2020
o00407-0253400060043.bu,o00407-0253400060043.bu,87,129,0,5,UE2010
o00407-0251800120079.bu,o00407-0251800120079.bu,130,29,1,4,UE2015
o00407-0231300460010.bu,o00407-0231300460010.bu,44,180,1,21,UE2010
o00407-0261500050120.bu,o00407-0261500050120.bu,2,222,0,10,UE2011
o00407-0255000400352.bu,o00407-0255000400352.bu,230,111,6,15,UE2020
o00407-0215100140025.bu,o00407-0215100140025.bu,160,84,0,12,UE2015
o00407-0253400060100.bu,o00407-0253400060100.bu,126,149,1,11,UE2010
o00407-0255000020587.bu,o00407-0255000020587.bu,244,96,7,7,UE2020
o00407-0255000320689.bu,o00407-0255000320689.bu,179,75,4,10,UE2020
o00407-0255000020714.bu,o00407-0255000020714.bu,202,98,5,8,UE2020
o00407-0277100240050.bu,o00407-0277100240050.bu,11,221,1,8,UE2010
o00407-0255000700677.bu,o00407-0255000700677.bu,194,127,1,11,UE2020
o00407-0255000400385.bu,o00407-0255000400385.bu,181,125,5,10,UE2020
o00407-0255000310651.bu,o00407-0255000310651.bu,206,93,3,15,UE2020
o00407-0241000030125.bu,o00407-0241000030125.bu,41,154,0,12,UE2010
o00407-9847700360088.bu,o00407-9847700360088.bu,94,140,2,6,UE2010
o00407-0255000620550.bu,o00407-0255000620550.bu,191,108,2,9,UE2020
o00407-0269000040126.bu,o00407-0269000040126.bu,5,254,0,11,UE2009
o00407-0277100240049.bu,o00407-0277100240049.bu,71,206,1,7,UE2010
o00407-0255000590662.bu,o00407-0255000590662.bu,200,112,7,14,UE2020
o00407-0241000030098.bu,o00407-0241000030098.bu,88,100,4,5,UE2010
o00407-0289500600001.bu,o00407-0289500600001.bu,65,235,1,12,UE2013
o00407-0211900260018.bu,o00407-0211900260018.bu,17,196,1,10,UE2011
o00407-0255000010681.bu,o00407-0255000010681.bu,159,110,4,11,UE2020
o00407-0204600310757.bu,o00407-0204600310757.bu,121,168,0,19,UE2015
o00407-0261500050041.bu,o00407-0261500050041.bu,42,211,2,8,UE2009
o00407-9847700360062.bu,o00407-9847700360062.bu,72,220,2,39,UE2010
o00407-0253400060228.bu,o00407-0253400060228.bu,114,171,7,25,UE2010
o00407-0255000010847.bu,o00407-0255000010847.bu,166,81,4,11,UE2020
o00407-0255000700582.bu,o00407-0255000700582.bu,184,132,5,8,UE2020
o00407-0255000020675.bu,o00407-0255000020675.bu,192,108,1,11,UE2020
o00407-0255000580900.bu,o00407-0255000580900.bu,226,110,2,10,UE2020
o00407-0283600190059.bu,o00407-0283600190059.bu,0,135,0,6,UE2015
o00407-0255000400504.bu,o00407-0255000400504.bu,190,148,7,7,UE2020
o00407-0255000650424.bu,o00407-0255000650424.bu,192,146,2,15,UE2020
o00407-0225900080061.bu,o00407-0225900080061.bu,73,96,1,3,UE2010
o00407-0255000400398.bu,o00407-0255000400398.bu,199,139,6,12,UE2020
o00407-0255000320717.bu,o00407-0255000320717.bu,130,97,4,8,UE2020
o00407-0283600190009.bu,o00407-0283600190009.bu,95,190,0,15,UE2015
o00407-0255000680489.bu,o00407-0255000680489.bu,178,143,8,17,UE2020
o00407-0255000620409.bu,o00407-0255000620409.bu,242,130,4,10,UE2020
o00407-0295000540011.bu,o00407-0295000540011.bu,43,156,2,7,UE2010
o00407-0235600170092.bu,o00407-0235600170092.bu,132,163,6,15,UE2011
o00407-0231300460023.bu,o00407-0231300460023.bu,87,156,5,12,UE2010
o00407-0283600190062.bu,o00407-0283600190062.bu,41,132,0,3,UE2015
o00407-0217800150012.bu,o00407-0217800150012.bu,53,242,2,17,UE2015
o00407-9847700360046.bu,o00407-9847700360046.bu,112,144,5,12,UE2010
o00407-0277100240040.bu,o00407-0277100240040.bu,64,238,3,5,UE2010
o00407-0255000620332.bu,o00407-0255000620332.bu,182,109,6,13,UE2020
o00407-0255000630758.bu,o00407-0255000630758.bu,151,95,2,11,UE2020
o00407-0255000400414.bu,o00407-0255000400414.bu,219,133,4,14,UE2015
o00407-0269000040090.bu,o00407-0269000040090.bu,30,240,2,10,UE2011
o00407-0229100110015.bu,o00407-0229100110015.bu,59,138,3,13,UE2010
o00407-0255000680783.bu,o00407-0255000680783.bu,175,107,8,15,UE2020
o00407-0207000350034.bu,o00407-0207000350034.bu,96,132,0,10,UE2015
o00407-0255000400326.bu,o00407-0255000400326.bu,232,120,5,11,UE2020
o00407-0257700160105.bu,o00407-0257700160105.bu,51,149,1,8,UE2015
o00407-0255000590634.bu,o00407-0255000590634.bu,201,95,7,10,UE2020
o00407-0255000630740.bu,o00407-0255000630740.bu,196,107,5,11,UE2020
o00407-0255000590586.bu,o00407-0255000590586.bu,138,188,6,12,UE2020
o00407-0257700160072.bu,o00407-0257700160072.bu,270,36,2,10,UE2011
o00407-0255000010837.bu,o00407-0255000010837.bu,181,77,3,6,UE2020
o00407-0225900080083.bu,o00407-0225900080083.bu,23,54,2,3,UE2010
o00407-9835300560087.bu,o00407-9835300560087.bu,110,141,0,11,UE2015
o00407-0255000620468.bu,o00407-0255000620468.bu,189,123,4,17,UE2020
o00407-0207000350030.bu,o00407-0207000350030.bu,97,151,3,9,UE2015
o00407-0211900260027.bu,o00407-0211900260027.bu,46,295,1,6,UE2011
o00407-0255000630526.bu,o00407-0255000630526.bu,212,139,4,8,UE2010
o00407-0209700180013.bu,o00407-0209700180013.bu,114,144,0,8,UE2015
o00407-0255000400341.bu,o00407-0255000400341.bu,99,137,0,17,UE2020
o00407-0255000400365.bu,o00407-0255000400365.bu,209,135,7,14,UE2020
o00407-0225900080017.bu,o00407-0225900080017.bu,57,123,0,17,UE2010
o00407-0229100110006.bu,o00407-0229100110006.bu,63,224,6,21,UE2010
o00407-0235600170007.bu,o00407-0235600170007.bu,116,98,3,10,UE2011
o00407-0235600170043.bu,o00407-0235600170043.bu,151,169,2,8,UE2011
o00407-0223200230139.bu,o00407-0223200230139.bu,65,102,4,4,UE2010
o00407-0281000090055.bu,o00407-0281000090055.bu,68,131,0,8,UE2013
o00407-0295000540004.bu,o00407-0295000540004.bu,82,176,0,16,UE2010
o00407-9843400680746.bu,o00407-9843400680746.bu,94,126,2,9,UE2015
o00407-0225900080035.bu,o00407-0225900080035.bu,104,132,1,13,UE2010
o00407-0200300670043.bu,o00407-0200300670043.bu,130,78,1,7,UE2015
o00407-0255000620395.bu,o00407-0255000620395.bu,246,144,6,14,UE2020
o00407-0255000620330.bu,o00407-0255000620330.bu,177,132,6,18,UE2020
o00407-0255000400590.bu,o00407-0255000400590.bu,194,107,3,8,UE2009
o00407-0255000580827.bu,o00407-0255000580827.bu,217,115,1,13,UE2020
o00407-0241000030280.bu,o00407-0241000030280.bu,77,201,2,8,UE2010
o00407-0255000650421.bu,o00407-0255000650421.bu,184,143,3,11,UE2020
o00407-0255000650358.bu,o00407-0255000650358.bu,175,123,2,10,UE2020
o00407-0269000040108.bu,o00407-0269000040108.bu,45,143,2,7,UE2011
o00407-0281000090143.bu,o00407-0281000090143.bu,111,181,2,8,UE2013
o00407-0255000590706.bu,o00407-0255000590706.bu,164,111,6,13,UE2020
o00407-0255000400420.bu,o00407-0255000400420.bu,241,110,2,14,UE2020
o00407-0255000620545.bu,o00407-0255000620545.bu,197,111,3,14,UE2020
o00407-0255000650551.bu,o00407-0255000650551.bu,186,113,4,7,UE2009
o00407-0255000700699.bu,o00407-0255000700699.bu,202,117,9,12,UE2020
o00407-9835300560065.bu,o00407-9835300560065.bu,95,141,2,6,UE2015
o00407-0281000090102.bu,o00407-0281000090102.bu,55,139,0,19,UE2013
o00407-0261500050165.bu,o00407-0261500050165.bu,41,134,2,4,UE2011
o00407-0255000650562.bu,o00407-0255000650562.bu,179,75,6,5,UE2020
o00407-0255000590687.bu,o00407-0255000590687.bu,165,123,7,6,UE2020
o00407-0293300060282.bu,o00407-0293300060282.bu,97,175,3,12,UE2010
o00407-0283600190049.bu,o00407-0283600190049.bu,40,123,0,4,UE2015
o00407-0255000320833.bu,o00407-0255000320833.bu,186,116,5,14,UE2009
o00407-0255000320861.bu,o00407-0255000320861.bu,180,129,3,9,UE2009
o00407-0255000630544.bu,o00407-0255000630544.bu,188,165,8,11,UE2020
o00407-0255000010896.bu,o00407-0255000010896.bu,143,98,2,13,UE2020
o00407-0255000581053.bu,o00407-0255000581053.bu,174,122,5,10,UE2020
o00407-0255000310614.bu,o00407-0255000310614.bu,187,117,1,14,UE2013
o00407-0255000580943.bu,o00407-0255000580943.bu,191,129,3,13,UE2020
o00407-0255000700674.bu,o00407-0255000700674.bu,211,97,5,11,UE2009
o00407-0255000370625.bu,o00407-0255000370625.bu,195,123,2,15,UE2020
o00407-0255000620519.bu,o00407-0255000620519.bu,162,132,3,13,UE2020
o00407-0255000370511.bu,o00407-0255000370511.bu,202,120,5,13,UE2020
