boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0605000100232.bu,o00407-0605000100232.bu,144,106,3,4,UE2020
o00407-0605000020474.bu,o00407-0605000020474.bu,147,87,4,4,UE2020
o00407-0605000100280.bu,o00407-0605000100280.bu,152,121,4,5,UE2010
o00407-0605000020135.bu,o00407-0605000020135.bu,108,61,2,6,UE2020
o00407-0605000100018.bu,o00407-0605000100018.bu,126,130,2,1,UE2020
o00407-0605000020003.bu,o00407-0605000020003.bu,77,72,2,1,UE2020
o00407-0605000020530.bu,o00407-0605000020530.bu,156,91,6,6,UE2020
o00407-0605000100239.bu,o00407-0605000100239.bu,151,104,2,6,UE2010
o00407-0600900010039.bu,o00407-0600900010039.bu,94,107,0,4,UE2015
o00407-0613000070081.bu,o00407-0613000070081.bu,80,159,2,5,UE2013
o00407-0605000020719.bu,o00407-0605000020719.bu,120,100,0,4,UE2020
o00407-0615700060082.bu,o00407-0615700060082.bu,164,108,6,2,UE2009
o00407-0609200040014.bu,o00407-0609200040014.bu,73,119,1,3,UE2015
o00407-0605000100180.bu,o00407-0605000100180.bu,172,124,3,7,UE2020
o00407-0613000070014.bu,o00407-0613000070014.bu,60,106,2,2,UE2009
o00407-0605000100264.bu,o00407-0605000100264.bu,151,92,3,2,UE2010
o00407-0605000020765.bu,o00407-0605000020765.bu,132,137,2,2,UE2020
o00407-0605000020581.bu,o00407-0605000020581.bu,88,81,2,3,UE2020
o00407-0605000020001.bu,o00407-0605000020001.bu,70,85,4,4,UE2020
o00407-0605000100091.bu,o00407-0605000100091.bu,79,97,0,3,UE2010
o00407-0613000070127.bu,o00407-0613000070127.bu,50,85,1,3,UE2013
o00407-0605000020762.bu,o00407-0605000020762.bu,142,129,2,7,UE2020
o00407-0609200040040.bu,o00407-0609200040040.bu,78,128,2,0,UE2015
o00407-0608400110005.bu,o00407-0608400110005.bu,133,143,2,4,UE2011
o00407-0611400120058.bu,o00407-0611400120058.bu,82,73,2,1,UE2010
o00407-0609200040043.bu,o00407-0609200040043.bu,60,81,2,0,UE2015
o00407-0605000020772.bu,o00407-0605000020772.bu,111,111,7,3,UE2020
o00407-0605000020733.bu,o00407-0605000020733.bu,90,68,1,2,UE2020
o00407-0605000100356.bu,o00407-0605000100356.bu,157,98,3,6,UE2010
o00407-0615700060108.bu,o00407-0615700060108.bu,182,108,2,5,UE2009
o00407-0605000020654.bu,o00407-0605000020654.bu,118,107,4,6,UE2020
o00407-0613000070062.bu,o00407-0613000070062.bu,63,149,0,2,UE2013
o00407-0612200070140.bu,o00407-0612200070140.bu,57,80,2,1,UE2013
o00407-0613000070171.bu,o00407-0613000070171.bu,42,61,3,0,UE2013
o00407-0605000100140.bu,o00407-0605000100140.bu,155,127,2,5,UE2020
o00407-0605000020747.bu,o00407-0605000020747.bu,4,35,1,0,UE2020
o00407-0613000070113.bu,o00407-0613000070113.bu,43,97,0,1,UE2013
o00407-0615700060065.bu,o00407-0615700060065.bu,127,102,1,3,UE2009
o00407-0605000100123.bu,o00407-0605000100123.bu,148,113,7,6,UE2020
o00407-0605000020644.bu,o00407-0605000020644.bu,140,111,2,2,UE2020
o00407-0605000020786.bu,o00407-0605000020786.bu,76,60,2,4,UE2020
o00407-0605000020412.bu,o00407-0605000020412.bu,102,93,3,5,UE2020
o00407-0605000020016.bu,o00407-0605000020016.bu,102,81,3,7,UE2020
o00407-0605000100302.bu,o00407-0605000100302.bu,177,117,7,6,UE2020
o00407-0605000100285.bu,o00407-0605000100285.bu,150,105,6,10,UE2010
o00407-0605000020258.bu,o00407-0605000020258.bu,167,103,3,4,UE2020
o00407-0605000020473.bu,o00407-0605000020473.bu,41,243,1,2,UE2015
o00407-0605000020072.bu,o00407-0605000020072.bu,112,75,2,1,UE2020
o00407-0605000020575.bu,o00407-0605000020575.bu,120,102,1,1,UE2020
o00407-0607600050030.bu,o00407-0607600050030.bu,26,210,0,1,UE2011
o00407-0605000020556.bu,o00407-0605000020556.bu,145,110,4,2,UE2020
o00407-0615700060014.bu,o00407-0615700060014.bu,126,92,3,0,UE2009
o00407-0605000100097.bu,o00407-0605000100097.bu,157,99,4,8,UE2010
o00407-0605000100159.bu,o00407-0605000100159.bu,128,115,2,3,UE2020
o00407-0605000100071.bu,o00407-0605000100071.bu,76,123,2,5,UE2010
o00407-0603300010065.bu,o00407-0603300010065.bu,110,82,0,3,UE2015
o00407-0605000020745.bu,o00407-0605000020745.bu,114,86,2,4,UE2020
o00407-0612200070180.bu,o00407-0612200070180.bu,50,116,0,1,UE2013
o00407-0609200040024.bu,o00407-0609200040024.bu,74,90,5,2,UE2015
o00407-0605000020289.bu,o00407-0605000020289.bu,155,114,5,5,UE2020
o00407-0605000100375.bu,o00407-0605000100375.bu,139,104,10,3,UE2010
o00407-0613000070094.bu,o00407-0613000070094.bu,70,100,1,3,UE2013
o00407-0605000100121.bu,o00407-0605000100121.bu,158,130,2,3,UE2020
o00407-0605000100210.bu,o00407-0605000100210.bu,136,102,10,4,UE2010
o00407-0605000100028.bu,o00407-0605000100028.bu,145,140,4,3,UE2020
o00407-0609200040065.bu,o00407-0609200040065.bu,50,76,0,1,UE2015
o00407-0613000070129.bu,o00407-0613000070129.bu,86,105,0,1,UE2013
o00407-0605000020359.bu,o00407-0605000020359.bu,122,98,3,6,UE2020
o00407-0612200070172.bu,o00407-0612200070172.bu,46,117,0,0,UE2013
o00407-0605000020814.bu,o00407-0605000020814.bu,82,82,2,3,UE2020
o00407-0615700060015.bu,o00407-0615700060015.bu,120,95,1,2,UE2009
o00407-0605000020004.bu,o00407-0605000020004.bu,73,90,1,3,UE2020
o00407-0605000020666.bu,o00407-0605000020666.bu,113,106,3,6,UE2020
o00407-0615700060191.bu,o00407-0615700060191.bu,149,85,4,2,UE2009
o00407-0615700060242.bu,o00407-0615700060242.bu,100,87,0,2,UE2009
o00407-0605000100072.bu,o00407-0605000100072.bu,60,199,1,1,UE2010
o00407-0615700060176.bu,o00407-0615700060176.bu,175,116,4,2,UE2009
o00407-0605000100349.bu,o00407-0605000100349.bu,154,99,7,4,UE2010
o00407-0605000020418.bu,o00407-0605000020418.bu,137,89,3,2,UE2020
o00407-0613000070119.bu,o00407-0613000070119.bu,79,148,0,2,UE2013
o00407-0615700060131.bu,o00407-0615700060131.bu,148,97,7,3,UE2009
o00407-0608400110029.bu,o00407-0608400110029.bu,123,97,2,2,UE2011
o00407-0615700060228.bu,o00407-0615700060228.bu,116,70,2,3,UE2009
o00407-0609200040051.bu,o00407-0609200040051.bu,55,68,1,1,UE2015
o00407-0605000020008.bu,o00407-0605000020008.bu,90,79,1,2,UE2020
o00407-0615700060170.bu,o00407-0615700060170.bu,158,118,9,2,UE2009
o00407-0605000100370.bu,o00407-0605000100370.bu,131,80,5,4,UE2010
o00407-0600900010046.bu,o00407-0600900010046.bu,70,65,1,0,UE2015
o00407-0605000100312.bu,o00407-0605000100312.bu,139,111,5,5,UE2010
o00407-0601700010043.bu,o00407-0601700010043.bu,60,156,0,4,UE2015
o00407-0615700060123.bu,o00407-0615700060123.bu,128,92,1,4,UE2009
o00407-0615700060005.bu,o00407-0615700060005.bu,164,133,2,3,UE2009
o00407-0615700060261.bu,o00407-0615700060261.bu,56,72,1,0,UE2009
o00407-0615700060258.bu,o00407-0615700060258.bu,128,102,1,1,UE2009
o00407-0603300010072.bu,o00407-0603300010072.bu,28,93,2,0,UE2015
o00407-0615700060026.bu,o00407-0615700060026.bu,141,120,2,8,UE2009
o00407-0605000100196.bu,o00407-0605000100196.bu,179,115,0,8,UE2009
o00407-0613000070038.bu,o00407-0613000070038.bu,74,79,5,2,UE2013
o00407-0605000020381.bu,o00407-0605000020381.bu,159,100,3,3,UE2020
o00407-0605000020594.bu,o00407-0605000020594.bu,156,97,1,10,UE2020
o00407-0609200040004.bu,o00407-0609200040004.bu,82,120,2,2,UE2015
o00407-0605000020727.bu,o00407-0605000020727.bu,123,106,2,2,UE2020
o00407-0605000020540.bu,o00407-0605000020540.bu,135,120,1,4,UE2020
o00407-0605000020665.bu,o00407-0605000020665.bu,159,122,7,5,UE2020
o00407-0605000020411.bu,o00407-0605000020411.bu,123,121,2,6,UE2020
o00407-0605000100256.bu,o00407-0605000100256.bu,145,95,4,3,UE2020
o00407-0605000100102.bu,o00407-0605000100102.bu,169,115,4,6,UE2010
o00407-0605000020764.bu,o00407-0605000020764.bu,115,69,4,2,UE2020
o00407-0601700010032.bu,o00407-0601700010032.bu,85,133,0,2,UE2015
o00407-0605000020362.bu,o00407-0605000020362.bu,120,85,4,1,UE2020
o00407-0609200040001.bu,o00407-0609200040001.bu,76,97,1,3,UE2015
o00407-0609200040006.bu,o00407-0609200040006.bu,13,254,3,2,UE2015
o00407-0605000020641.bu,o00407-0605000020641.bu,154,109,3,1,UE2020
o00407-0609200040062.bu,o00407-0609200040062.bu,85,107,2,2,UE2015
o00407-0615700060137.bu,o00407-0615700060137.bu,149,96,6,4,UE2009
o00407-0605000100025.bu,o00407-0605000100025.bu,147,143,10,7,UE2020
o00407-0613000070072.bu,o00407-0613000070072.bu,85,169,2,5,UE2013
o00407-0607600050080.bu,o00407-0607600050080.bu,65,137,1,1,UE2011
o00407-0600900010080.bu,o00407-0600900010080.bu,35,45,0,1,UE2015
o00407-0605000020069.bu,o00407-0605000020069.bu,125,102,4,3,UE2020
o00407-0617300080003.bu,o00407-0617300080003.bu,18,159,0,3,UE2015
o00407-0615700060194.bu,o00407-0615700060194.bu,182,127,2,4,UE2009
