boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9270300400081.bu,o00407-9270300400081.bu,182,118,3,13,UE2020
o00407-9373401470444.bu,o00407-9373401470444.bu,210,102,1,3,UE2020
o00407-9571001400168.bu,o00407-9571001400168.bu,138,121,1,5,UE2009
o00407-9373401330042.bu,o00407-9373401330042.bu,176,122,4,3,UE2020
o00407-9373401470024.bu,o00407-9373401470024.bu,187,120,7,7,UE2020
o00407-9329700850154.bu,o00407-9329700850154.bu,67,107,0,1,UE2015
o00407-9221500030663.bu,o00407-9221500030663.bu,160,51,1,6,UE2020
o00407-9373401340275.bu,o00407-9373401340275.bu,212,87,4,5,UE2020
o00407-9595800440006.bu,o00407-9595800440006.bu,144,103,1,6,UE2010
o00407-9425000160305.bu,o00407-9425000160305.bu,148,120,3,7,UE2010
o00407-9373401460312.bu,o00407-9373401460312.bu,160,93,2,9,UE2020
o00407-9473000220004.bu,o00407-9473000220004.bu,198,122,2,3,UE2010
o00407-9433100180263.bu,o00407-9433100180263.bu,138,125,1,3,UE2009
o00407-9373401470119.bu,o00407-9373401470119.bu,180,95,3,7,UE2020
o00407-9503600270084.bu,o00407-9503600270084.bu,130,102,2,5,UE2010
o00407-9373400020393.bu,o00407-9373400020393.bu,169,82,0,6,UE2020
o00407-9373401350193.bu,o00407-9373401350193.bu,218,98,11,6,UE2020
o00407-9336000560072.bu,o00407-9336000560072.bu,196,91,0,2,UE2009
o00407-9509501310087.bu,o00407-9509501310087.bu,160,120,1,3,UE2015
o00407-9373401350290.bu,o00407-9373401350290.bu,176,133,6,10,UE2020
o00407-9373401460015.bu,o00407-9373401460015.bu,174,132,4,14,UE2020
o00407-9212601430056.bu,o00407-9212601430056.bu,76,155,0,8,UE2015
o00407-9563000460086.bu,o00407-9563000460086.bu,140,135,6,3,UE2010
o00407-9505201440078.bu,o00407-9505201440078.bu,142,119,0,10,UE2020
o00407-9425000160202.bu,o00407-9425000160202.bu,125,158,2,12,UE2010
o00407-9477301100098.bu,o00407-9477301100098.bu,92,90,1,5,UE2015
o00407-9549400450015.bu,o00407-9549400450015.bu,121,91,1,8,UE2010
o00407-9316500460104.bu,o00407-9316500460104.bu,109,147,4,12,UE2010
o00407-9647401300034.bu,o00407-9647401300034.bu,129,141,3,3,UE2015
o00407-9375001010044.bu,o00407-9375001010044.bu,133,122,2,9,UE2009
o00407-9227401450328.bu,o00407-9227401450328.bu,146,111,3,11,UE2020
o00407-9228200570046.bu,o00407-9228200570046.bu,131,150,3,10,UE2013
o00407-9507900080108.bu,o00407-9507900080108.bu,114,130,0,5,UE2010
o00407-9373401350280.bu,o00407-9373401350280.bu,169,114,3,8,UE2020
o00407-9595800440077.bu,o00407-9595800440077.bu,108,78,3,5,UE2010
o00407-9473000220029.bu,o00407-9473000220029.bu,176,94,2,3,UE2010
o00407-9373400010088.bu,o00407-9373400010088.bu,130,70,3,3,UE2020
o00407-9373401460062.bu,o00407-9373401460062.bu,128,88,1,4,UE2020
