boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0415400430554.bu,o00407-0415400430554.bu,153,178,0,4,UE2020
o00407-0417000520093.bu,o00407-0417000520093.bu,13,118,1,3,UE2020
o00407-0589400680021.bu,o00407-0589400680021.bu,157,87,1,3,UE2015
o00407-0427800980015.bu,o00407-0427800980015.bu,145,116,2,6,UE2020
o00407-0509600420032.bu,o00407-0509600420032.bu,190,77,0,2,UE2010
o00407-0427800730647.bu,o00407-0427800730647.bu,180,141,5,6,UE2020
o00407-0419700340538.bu,o00407-0419700340538.bu,29,49,1,0,UE2015
o00407-0443000250075.bu,o00407-0443000250075.bu,74,196,3,5,UE2020
o00407-0428600340348.bu,o00407-0428600340348.bu,124,59,1,2,UE2015
o00407-0481200050083.bu,o00407-0481200050083.bu,105,185,2,3,UE2020
o00407-0427800960342.bu,o00407-0427800960342.bu,176,173,2,11,UE2020
o00407-0485500310131.bu,o00407-0485500310131.bu,129,190,6,4,UE2010
o00407-0559200390104.bu,o00407-0559200390104.bu,126,150,5,3,UE2020
o00407-0448000810005.bu,o00407-0448000810005.bu,129,168,2,3,UE2020
o00407-0513400270004.bu,o00407-0513400270004.bu,90,208,2,5,UE2015
o00407-0465000060050.bu,o00407-0465000060050.bu,76,198,0,4,UE2010
o00407-0545200530232.bu,o00407-0545200530232.bu,178,82,2,3,UE2011
o00407-0471500340385.bu,o00407-0471500340385.bu,151,95,0,3,UE2015
o00407-0441300120328.bu,o00407-0441300120328.bu,70,192,0,1,UE2015
o00407-0469300110461.bu,o00407-0469300110461.bu,73,131,1,3,UE2020
o00407-0441300120308.bu,o00407-0441300120308.bu,96,189,8,2,UE2015
o00407-0427800960302.bu,o00407-0427800960302.bu,140,231,3,7,UE2020
o00407-0577000850077.bu,o00407-0577000850077.bu,130,69,1,1,UE2013
o00407-0427800300144.bu,o00407-0427800300144.bu,131,134,0,6,UE2020
o00407-0443000250174.bu,o00407-0443000250174.bu,86,127,1,2,UE2020
o00407-0515000440035.bu,o00407-0515000440035.bu,79,122,0,8,UE2015
o00407-0463400050056.bu,o00407-0463400050056.bu,39,194,1,14,UE2020
o00407-0423500350083.bu,o00407-0423500350083.bu,5,61,0,0,UE2010
